object,type_id,path,node_type,value_type,json_type,required,default_json,order
sap,NA,sap_schema_version,field,character,string,TRUE,"""0.1.0""",1
sap,NA,generated_at,field,datetime,string,TRUE,NA,2
sap,NA,study,object,object,object,TRUE,NA,3
sap,NA,data_sources,collection,object,array,TRUE,[],4
sap,NA,data_source_modifications,collection,object,array,TRUE,[],5
sap,NA,codelists,collection,object,array,TRUE,[],6
sap,NA,cohorts,collection,object,array,TRUE,[],7
sap,NA,analyses,collection,object,array,TRUE,[],8
study,NA,study_id,field,id,string,TRUE,NA,1
study,NA,title,field,character,string,TRUE,NA,2
study,NA,authors,field,character_vector,array,FALSE,[],3
study,NA,version,field,character,string,TRUE,NA,4
study,NA,description,field,character,string,FALSE,null,5
data_source,NA,id,field,id,string,TRUE,NA,1
data_source,NA,name,field,character,string,TRUE,NA,2
data_source,NA,description,field,data_source_description,external,FALSE,null,3
data_source_modification,NA,id,field,id,string,TRUE,NA,1
data_source_modification,NA,name,field,character,string,TRUE,NA,2
data_source_modification,NA,type,field,type_id,string,TRUE,NA,3
data_source_modification,NA,data_source_id,field,id_vector,array,FALSE,[],4
data_source_modification,NA,parameters,object,object,object,TRUE,{},5
data_source_modification,trim_observation_period,parameters.date_range,field,date_range,array,FALSE,null,1
codelist,NA,id,field,id,string,TRUE,NA,1
codelist,NA,name,field,character,string,TRUE,NA,2
codelist,NA,type,field,type_id,string,TRUE,NA,3
codelist,NA,content,field,external_object,external,TRUE,NA,4
cohort,NA,id,field,id,string,TRUE,NA,1
cohort,NA,name,field,character,string,TRUE,NA,2
cohort,NA,data_source_id,field,id_vector,array,FALSE,[],3
cohort,NA,type,field,type_id,string,TRUE,NA,4
cohort,NA,parameters,object,object,object,TRUE,{},5
cohort,concept_cohort,parameters.codelist_id,field,id,string,TRUE,NA,1
cohort,concept_cohort,parameters.exit,field,character,string,TRUE,NA,2
cohort,concept_cohort,parameters.overlap,field,character,string,TRUE,NA,3
analysis,NA,id,field,id,string,TRUE,NA,1
analysis,NA,name,field,character,string,TRUE,NA,2
analysis,NA,data_source_id,field,id_vector,array,FALSE,[],3
analysis,NA,type,field,type_id,string,TRUE,NA,4
analysis,NA,parameters,object,object,object,TRUE,{},5
analysis,incidence,parameters.denominator_cohort_id,field,id,string,TRUE,NA,1
analysis,incidence,parameters.outcome_cohort_id,field,id,string,FALSE,null,2
